(10,362880)
(9.95,324276.8)
(9.9,289862.2)
(9.85,259168.8)
(9.8,231787.4)
(9.75,207354.5)
(9.7,185547.2)
(9.65,166078.4)
(9.6,148693.1)
(9.55,133164.1)
(9.5,119289.9)
(9.45,106890.9)
(9.4,95807.34)
(9.35,85897.15)
(9.3,77033.8)
(9.25,69104.62)
(9.2,62009.3)
(9.15,55658.46)
(9.1,49972.49)
(9.05,44880.41)
(9,40319.26)
(8.95,36232.05)
(8.9,32568.79)
(8.85,29284.61)
(8.8,26339.47)
(8.75,23697.66)
(8.7,21327.26)
(8.65,19199.82)
(8.6,17289.89)
(8.55,15574.75)
(8.5,14034.11)
(8.45,12649.81)
(8.4,11405.64)
(8.35,10287.08)
(8.3,9281.18)
(8.25,8376.318)
(8.2,7562.11)
(8.15,6829.259)
(8.1,6169.443)
(8.05,5575.207)
(8,5039.907)
(7.95,4557.491)
(7.9,4122.631)
(7.85,3730.523)
(7.8,3376.855)
(7.75,3057.762)
(7.7,2769.775)
(7.65,2509.78)
(7.6,2274.985)
(7.55,2062.881)
(7.5,1871.214)
(7.45,1697.961)
(7.4,1541.302)
(7.35,1399.603)
(7.3,1271.395)
(7.25,1155.354)
(7.2,1050.293)
(7.15,955.1412)
(7.1,868.9357)
(7.05,790.8095)
(7,719.9868)
(6.95,655.754)
(6.9,597.4828)
(6.85,544.6019)
(6.8,496.5964)
(6.75,453.0018)
(6.7,413.3992)
(6.65,377.4106)
(6.6,344.6948)
(6.55,314.9437)
(6.5,287.8791)
(6.45,263.2497)
(6.4,240.8285)
(6.35,220.41)
(6.3,201.8087)
(6.25,184.8567)
(6.2,169.4021)
(6.15,155.3075)
(6.1,142.4485)
(6.05,130.7123)
(6,119.9978)
(5.95,110.2108)
(5.9,101.2683)
(5.85,93.09435)
(5.8,85.62007)
(5.75,78.78292)
(5.7,72.52618)
(5.65,66.79833)
(5.6,61.55264)
(5.55,56.74661)
(5.5,52.34166)
(5.45,48.3027)
(5.4,44.59786)
(5.35,41.19812)
(5.3,38.07711)
(5.25,35.21079)
(5.2,32.57733)
(5.15,30.1568)
(5.1,27.93107)
(5.05,25.88363)
(5,23.99956)
(4.95,22.2648)
(4.9,20.66699)
(4.85,19.19471)
(4.8,17.83751)
(4.75,16.58588)
(4.7,15.4311)
(4.65,14.36523)
(4.6,13.38101)
(4.55,12.47178)
(4.5,11.63148)
(4.45,10.85454)
(4.4,10.13588)
(4.35,9.470833)
(4.3,8.855141)
(4.25,8.284893)
(4.2,7.756506)
(4.15,7.266698)
(4.1,6.812457)
(4.05,6.391019)
(4,5.99989)
(3.95,5.636658)
(3.9,5.299229)
(3.85,4.985639)
(3.8,4.694083)
(3.75,4.422901)
(3.7,4.170568)
(3.65,3.93568)
(3.6,3.716947)
(3.55,3.513178)
(3.5,3.32328)
(3.45,3.146244)
(3.4,2.98114)
(3.35,2.827114)
(3.3,2.683376)
(3.25,2.549198)
(3.2,2.423908)
(3.15,2.306888)
(3.1,2.197567)
(3.05,2.095416)
(3,1.999963)
(2.95,1.910732)
(2.9,1.827321)
(2.85,1.749347)
(2.8,1.676458)
(2.75,1.608328)
(2.7,1.544655)
(2.65,1.485162)
(2.6,1.429595)
(2.55,1.377717)
(2.5,1.329312)
(2.45,1.284181)
(2.4,1.242142)
(2.35,1.203027)
(2.3,1.166685)
(2.25,1.132977)
(2.2,1.101776)
(2.15,1.072971)
(2.1,1.04646)
(2.05,1.022154)
(2,0.9999816)
(1.95,0.9798624)
(1.9,0.9617476)
(1.85,0.945593)
(1.8,0.9313656)
(1.75,0.9190443)
(1.7,0.9086204)
(1.65,0.9000984)
(1.6,0.8934968)
(1.55,0.8888496)
(1.5,0.8862079)
(1.45,0.8856421)
(1.4,0.8872442)
(1.35,0.8911314)
(1.3,0.8974502)
(1.25,0.9063814)
(1.2,0.9181471)
(1.15,0.9330185)
(1.1,0.9513276)
(1.05,0.9734801)
(1,0.9999816)
(0.95,1.031434)
(0.9,1.068608)
(0.85,1.112462)
(0.8,1.164207)
(0.75,1.225392)
(0.7,1.298029)
(0.65,1.384767)
(0.6,1.489161)
(0.55,1.61609)
(0.5,1.772416)
(0.45,1.968094)
(0.4,2.21811)
(0.35,2.54609)
(0.3,2.991501)
(0.25,3.625526)
(0.2,4.590735)
(0.15,6.220124)
(0.1,9.513276)
(0.05,19.4696)
(-7.646661e-015,-1.307736e+014)
(-0.05,-20.62868)
(-0.1,-10.68608)
(-0.15,-7.416416)
(-0.2,-5.821035)
(-0.25,-4.90157)
(-0.3,-4.326764)
(-0.35,-3.956477)
