(10,6.165599)
(9.99,6.161256)
(9.98,6.15691)
(9.97,6.152562)
(9.96,6.148213)
(9.95,6.143861)
(9.94,6.139508)
(9.93,6.135152)
(9.92,6.130795)
(9.91,6.126436)
(9.9,6.122075)
(9.89,6.117712)
(9.88,6.113347)
(9.87,6.108981)
(9.86,6.104612)
(9.85,6.100241)
(9.84,6.095869)
(9.83,6.091494)
(9.82,6.087117)
(9.81,6.082739)
(9.8,6.078359)
(9.79,6.073976)
(9.78,6.069592)
(9.77,6.065206)
(9.76,6.060817)
(9.75,6.056427)
(9.74,6.052035)
(9.73,6.047641)
(9.72,6.043245)
(9.71,6.038846)
(9.7,6.034446)
(9.69,6.030044)
(9.68,6.02564)
(9.67,6.021234)
(9.66,6.016825)
(9.65,6.012415)
(9.64,6.008003)
(9.63,6.003589)
(9.62,5.999173)
(9.61,5.994754)
(9.6,5.990334)
(9.59,5.985912)
(9.58,5.981487)
(9.57,5.977061)
(9.56,5.972632)
(9.55,5.968202)
(9.54,5.963769)
(9.53,5.959335)
(9.52,5.954898)
(9.51,5.950459)
(9.5,5.946018)
(9.49,5.941575)
(9.48,5.93713)
(9.47,5.932683)
(9.46,5.928234)
(9.45,5.923783)
(9.44,5.919329)
(9.43,5.914874)
(9.42,5.910416)
(9.41,5.905957)
(9.4,5.901495)
(9.39,5.897031)
(9.38,5.892565)
(9.37,5.888097)
(9.36,5.883626)
(9.35,5.879154)
(9.34,5.874679)
(9.33,5.870203)
(9.32,5.865724)
(9.31,5.861243)
(9.3,5.856759)
(9.29,5.852274)
(9.28,5.847787)
(9.27,5.843297)
(9.26,5.838805)
(9.25,5.834311)
(9.24,5.829815)
(9.23,5.825316)
(9.22,5.820816)
(9.21,5.816313)
(9.2,5.811808)
(9.19,5.807301)
(9.18,5.802791)
(9.17,5.798279)
(9.16,5.793766)
(9.15,5.789249)
(9.14,5.784731)
(9.13,5.780211)
(9.12,5.775688)
(9.11,5.771163)
(9.1,5.766635)
(9.09,5.762106)
(9.08,5.757574)
(9.07,5.75304)
(9.06,5.748504)
(9.05,5.743965)
(9.04,5.739424)
(9.03,5.734881)
(9.02,5.730336)
(9.01,5.725788)
(9,5.721238)
(8.99,5.716685)
(8.98,5.712131)
(8.97,5.707574)
(8.96,5.703014)
(8.95,5.698453)
(8.94,5.693889)
(8.93,5.689323)
(8.92,5.684754)
(8.91,5.680183)
(8.9,5.67561)
(8.89,5.671034)
(8.88,5.666456)
(8.87,5.661876)
(8.86,5.657293)
(8.85,5.652708)
(8.84,5.648121)
(8.83,5.643531)
(8.82,5.638939)
(8.81,5.634344)
(8.8,5.629747)
(8.79,5.625147)
(8.78,5.620546)
(8.77,5.615941)
(8.76,5.611335)
(8.75,5.606726)
(8.74,5.602114)
(8.73,5.5975)
(8.72,5.592884)
(8.71,5.588265)
(8.7,5.583644)
(8.69,5.57902)
(8.68,5.574394)
(8.67,5.569765)
(8.66,5.565134)
(8.65,5.5605)
(8.64,5.555864)
(8.63,5.551226)
(8.62,5.546584)
(8.61,5.541941)
(8.6,5.537295)
(8.59,5.532646)
(8.58,5.527995)
(8.57,5.523341)
(8.56,5.518685)
(8.55,5.514026)
(8.54,5.509365)
(8.53,5.504701)
(8.52,5.500035)
(8.51,5.495366)
(8.5,5.490695)
(8.49,5.486021)
(8.48,5.481344)
(8.47,5.476665)
(8.46,5.471983)
(8.45,5.467299)
(8.44,5.462612)
(8.43,5.457922)
(8.42,5.45323)
(8.41,5.448535)
(8.4,5.443838)
(8.39,5.439138)
(8.38,5.434435)
(8.37,5.42973)
(8.36,5.425022)
(8.35,5.420311)
(8.34,5.415598)
(8.33,5.410882)
(8.32,5.406163)
(8.31,5.401442)
(8.3,5.396718)
(8.29,5.391991)
(8.28,5.387262)
(8.27,5.38253)
(8.26,5.377795)
(8.25,5.373058)
(8.24,5.368317)
(8.23,5.363574)
(8.22,5.358829)
(8.21,5.35408)
(8.2,5.349329)
(8.19,5.344575)
(8.18,5.339818)
(8.17,5.335059)
(8.16,5.330297)
(8.15,5.325532)
(8.14,5.320764)
(8.13,5.315993)
(8.12,5.31122)
(8.11,5.306444)
(8.1,5.301665)
(8.09,5.296883)
(8.08,5.292098)
(8.07,5.287311)
(8.06,5.28252)
(8.05,5.277727)
(8.04,5.272931)
(8.03,5.268132)
(8.02,5.26333)
(8.01,5.258526)
(8,5.253718)
(7.99,5.248908)
(7.98,5.244095)
(7.97,5.239278)
(7.96,5.234459)
(7.95,5.229637)
(7.94,5.224812)
(7.93,5.219984)
(7.92,5.215153)
(7.91,5.210319)
(7.9,5.205483)
(7.89,5.200643)
(7.88,5.1958)
(7.87,5.190955)
(7.86,5.186106)
(7.85,5.181254)
(7.84,5.1764)
(7.83,5.171542)
(7.82,5.166681)
(7.81,5.161818)
(7.8,5.156951)
(7.79,5.152081)
(7.78,5.147208)
(7.77,5.142332)
(7.76,5.137453)
(7.75,5.132571)
(7.74,5.127686)
(7.73,5.122798)
(7.72,5.117907)
(7.71,5.113013)
(7.7,5.108115)
(7.69,5.103214)
(7.68,5.098311)
(7.67,5.093404)
(7.66,5.088494)
(7.65,5.083581)
(7.64,5.078664)
(7.63,5.073745)
(7.62,5.068822)
(7.61,5.063897)
(7.6,5.058968)
(7.59,5.054035)
(7.58,5.0491)
(7.57,5.044161)
(7.56,5.039219)
(7.55,5.034274)
(7.54,5.029326)
(7.53,5.024374)
(7.52,5.01942)
